"Series Code","Indicator Name",,,,"Source"
"AG.AGR.TRAC.NO","Agricultural machinery, tractors",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.CON.FERT.PT.ZS","Fertilizer consumption (% of fertilizer production)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.AGRI.K2","Agricultural land (sq. km)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.AGRI.ZS","Agricultural land (% of land area)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.ARBL.HA","Arable land (hectares)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.ARBL.HA.PC","Arable land (hectares per person)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.ARBL.ZS","Arable land (% of land area)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.CREL.HA","Land under cereal production (hectares)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.CROP.ZS","Permanent cropland (% of land area)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.EL5M.RU.K2","Rural land area where elevation is below 5 meters (sq. km)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.EL5M.RU.ZS","Rural land area where elevation is below 5 meters (% of total land area)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.EL5M.UR.K2","Urban land area where elevation is below 5 meters (sq. km)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.EL5M.UR.ZS","Urban land area where elevation is below 5 meters (% of total land area)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.EL5M.ZS","Land area where elevation is below 5 meters (% of total land area)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.FRST.K2","Forest area (sq. km)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.FRST.ZS","Forest area (% of land area)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.PRCP.MM","Average precipitation in depth (mm per year)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.TOTL.K2","Land area (sq. km)",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.LND.TOTL.RU.K2","Rural land area (sq. km)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.TOTL.UR.K2","Urban land area (sq. km)",,,,"Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2."
"AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land",,,,"Food and Agriculture Organization, electronic files and web site."
"AG.PRD.CREL.MT","Cereal production (metric tons)",,,,"Food and Agriculture Organization, electronic files and web site."
